order_book_id,date,prev_close,close,volume,open,low,total_turnover,high
000300.XSHG,2025-04-16,3761.2348,3772.8204,15635900600.0,3757.8757,3721.6025,261711094768.5,3775.1661
000300.XSHG,2025-04-17,3772.8204,3772.2221,12237100200.0,3755.0862,3749.504,209012323066.2,3779.1253
000300.XSHG,2025-04-18,3772.2221,3772.523,10294850900.0,3760.0425,3754.4072,173109384097.2,3782.0443
000300.XSHG,2025-04-21,3772.523,3784.8806,12135573000.0,3768.1421,3763.1383,208085677382.1,3790.1782
000300.XSHG,2025-04-22,3784.8806,3783.9522,12568825700.0,3780.1122,3778.0791,210200698793.7,3799.2295
000300.XSHG,2025-04-23,3783.9522,3786.8824,13198687000.0,3803.4295,3780.5183,247117386122.1,3807.9536
000300.XSHG,2025-04-24,3786.8824,3784.3574,11716456000.0,3787.459,3775.207,205483051375.0,3807.2599
000300.XSHG,2025-04-25,3784.3574,3786.9937,12459113300.0,3792.0838,3780.7772,220535052619.3,3801.5765
000300.XSHG,2025-04-28,3786.9937,3781.6188,12514509100.0,3786.3867,3772.8029,210635318523.2,3792.0082
000300.XSHG,2025-04-29,3781.6188,3775.0767,11151469400.0,3776.0025,3768.0311,197462744362.5,3785.3157
000300.XSHG,2025-04-30,3775.0767,3770.5705,14368165800.0,3775.8306,3768.7573,244820462217.6,3787.5639
000300.XSHG,2025-05-06,3770.5705,3808.5424,15852045900.0,3794.3757,3782.777,267937090757.4,3809.0939
000300.XSHG,2025-05-07,3808.5424,3831.627,16117229900.0,3861.5767,3814.9868,286010735453.4,3863.6776
000300.XSHG,2025-05-08,3831.627,3852.8963,12495983300.0,3820.5481,3816.2642,246987280587.7,3867.3313
000300.XSHG,2025-05-09,3852.8963,3846.1566,11938952600.0,3848.6187,3836.5349,216697939671.7,3853.6632
000300.XSHG,2025-05-12,3846.1566,3890.6096,15333246000.0,3866.5305,3859.0346,296122947807.8,3890.7342
000300.XSHG,2025-05-13,3890.6096,3896.2583,14732029900.0,3915.5924,3890.6855,267586397719.9,3915.5924
000300.XSHG,2025-05-14,3896.2583,3943.2108,17203377900.0,3894.8386,3890.6504,319465226850.5,3960.5228
000300.XSHG,2025-05-15,3943.2108,3907.1992,13808174900.0,3934.0273,3904.9068,241464943553.6,3936.4653
000300.XSHG,2025-05-16,3907.1992,3889.0854,11840534500.0,3898.6662,3874.8619,208835664039.2,3903.8528
000300.XSHG,2025-05-19,3889.0854,3877.1453,9864341400.0,3882.5677,3866.5695,184888170553.8,3885.5889
000300.XSHG,2025-05-20,3877.1453,3898.1705,10488523400.0,3883.1024,3881.7436,201636702521.8,3911.4737
000300.XSHG,2025-05-21,3898.1705,3916.3807,10979134300.0,3899.4365,3899.4365,217037739435.0,3928.6339
000300.XSHG,2025-05-22,3916.3807,3913.8651,10759705200.0,3912.6007,3903.0898,197511410270.8,3923.0195
000300.XSHG,2025-05-23,3913.8651,3882.2741,12027741900.0,3910.3739,3882.2741,232945378294.8,3931.5514
000300.XSHG,2025-05-26,3882.2741,3860.1067,10960120700.0,3875.7891,3849.0384,208876792148.9,3884.537
000300.XSHG,2025-05-27,3860.1067,3839.3969,9857242500.0,3857.6271,3834.8455,178466763540.9,3865.4291
000300.XSHG,2025-05-28,3839.3969,3836.2366,8903102600.0,3843.0747,3833.9582,162496372727.5,3849.736
000300.XSHG,2025-05-29,3836.2366,3858.6998,10847188600.0,3838.0092,3831.4577,209459602501.2,3869.7909
000300.XSHG,2025-05-30,3858.6998,3840.2323,11167222800.0,3850.493,3829.2542,199389751071.1,3858.6128
000300.XSHG,2025-06-03,3840.2323,3852.0127,13140309000.0,3833.4584,3832.7202,226782772062.7,3863.2952
000300.XSHG,2025-06-04,3852.0127,3868.7429,11680387300.0,3855.4878,3855.4878,211736178154.1,3875.8569
000300.XSHG,2025-06-05,3868.7429,3877.5557,12287818400.0,3872.6373,3861.272,231749275334.6,3883.1345
000300.XSHG,2025-06-06,3877.5557,3873.9841,11098797100.0,3878.1027,3869.3871,202034736310.9,3889.4557
000300.XSHG,2025-06-09,3873.9841,3885.2459,13630629300.0,3877.7977,3871.9917,262023668465.5,3894.6517
000300.XSHG,2025-06-10,3885.2459,3865.4652,14556385900.0,3887.5512,3850.4663,263647551794.8,3897.4573
000300.XSHG,2025-06-11,3865.4652,3894.6252,14241477200.0,3870.6719,3870.6719,257217704405.4,3911.6107
000300.XSHG,2025-06-12,3894.6252,3892.1992,13399869700.0,3885.5196,3870.3838,260239581458.0,3900.0408
000300.XSHG,2025-06-13,3892.1992,3864.1822,17253953600.0,3881.4923,3853.8186,309172346179.9,3889.1602
000300.XSHG,2025-06-16,3864.1822,3873.7951,13734183500.0,3853.6193,3853.6193,246860982863.3,3876.1704
000300.XSHG,2025-06-17,3873.7951,3870.3786,12234252600.0,3875.1768,3860.409,220399818948.5,3880.4156
000300.XSHG,2025-06-18,3870.3786,3874.9708,12752862100.0,3871.6502,3854.6575,230553858263.6,3881.346
000300.XSHG,2025-06-19,3874.9708,3843.0912,13028065800.0,3870.049,3834.9512,234840180805.5,3872.9425
000300.XSHG,2025-06-20,3843.0912,3846.6443,11815102000.0,3839.7833,3839.7833,213522822874.5,3856.4799
000300.XSHG,2025-06-23,3846.6443,3857.9016,13380089200.0,3831.1703,3827.0829,232482215850.4,3867.5896
000300.XSHG,2025-06-24,3857.9016,3904.0342,16365618800.0,3862.3876,3862.3876,294228720612.5,3914.1579
000300.XSHG,2025-06-25,3904.0342,3960.0662,18721367100.0,3907.0682,3902.1771,361727254624.0,3963.0371
000300.XSHG,2025-06-26,3960.0662,3946.0195,16531626300.0,3953.1603,3945.2589,328102847495.6,3964.482
000300.XSHG,2025-06-27,3946.0195,3921.7578,19455791300.0,3949.7879,3918.2041,343468229813.8,3969.2626
000300.XSHG,2025-06-30,3921.7578,3936.0791,14517023600.0,3920.3149,3911.6044,288821434921.4,3940.3611
000300.XSHG,2025-07-01,3936.0791,3942.762,12895936200.0,3935.9078,3924.7219,236070338399.4,3946.2451
000300.XSHG,2025-07-02,3942.762,3943.6849,14706306200.0,3943.3232,3929.6956,246637847453.8,3952.1378
000300.XSHG,2025-07-03,3943.6849,3968.0676,14100400600.0,3949.3998,3945.138,269609569538.7,3971.616
000300.XSHG,2025-07-04,3968.0676,3982.2034,15719713300.0,3967.4637,3958.3762,290512992198.0,4013.8478
000300.XSHG,2025-07-07,3982.2034,3965.1746,13113527300.0,3977.2881,3956.5663,225106992875.9,3979.7481
000300.XSHG,2025-07-08,3965.1746,3998.4527,15640289500.0,3965.426,3965.426,292089834223.8,4002.269
000300.XSHG,2025-07-09,3998.4527,3991.4006,17329379600.0,3997.5044,3987.4267,305398796562.7,4016.7434
000300.XSHG,2025-07-10,3991.4006,4010.0243,20977890400.0,3993.4196,3992.5242,347836703626.3,4032.9829
000300.XSHG,2025-07-11,4010.0243,4014.807,26205277300.0,4011.4652,4010.1052,443780794880.4,4065.9419
000300.XSHG,2025-07-14,4014.807,4017.6678,20791717500.0,4021.2135,4017.6678,321415945157.1,4034.9198
000300.XSHG,2025-07-15,4017.6678,4019.0644,19104293100.0,4023.9896,3994.2628,353524574440.9,4042.6574
000300.XSHG,2025-07-16,4019.0644,4007.2019,15102730800.0,4019.3925,3993.9209,300656795664.6,4027.8567
000300.XSHG,2025-07-17,4007.2019,4034.491,16124904100.0,4005.067,4005.067,325516865722.7,4034.5935
000300.XSHG,2025-07-18,4034.491,4058.5486,18621106300.0,4039.8712,4039.3181,354244444629.7,4064.6378
000300.XSHG,2025-07-21,4058.5486,4085.6072,22326847600.0,4069.7685,4063.4427,377938564877.6,4086.1171
000300.XSHG,2025-07-22,4085.6072,4118.9582,25759698500.0,4087.3354,4068.3383,450874014479.4,4119.2021
000300.XSHG,2025-07-23,4118.9582,4119.7685,30050615400.0,4129.1476,4113.9085,470330899420.8,4155.6783
000300.XSHG,2025-07-24,4119.7685,4149.0368,31963239200.0,4116.8312,4111.8849,487000043884.1,4152.4265
000300.XSHG,2025-07-25,4149.0368,4127.1634,27359496300.0,4145.3195,4117.8005,430445513470.9,4150.4994
